People's Daily,http://www.people.com.cn/,"People's Daily is the official newspaper of the Central Committee of the Communist Party of China (CPC), published worldwide with a circulation of 3 to 4 million. In addition to its main Chinese-language edition, it has editions in English, Japanese, French, Spanish, Russian, Arabic and Korean. People's Daily provides direct information on the policies and viewpoints of the Party."
Southern Metropolis Daily,http://www.nandu.com/,"Southern Metropolis Daily is a comprehensive daily newspaper, which circulates mainly in Pearl River Delta. It is affiliated with Southern Newspaper Media Group. Southern Metropolis Daily is known for its fairness and straightforwardness in reporting."
Southern Weekly (Southern Weekend),http://www.infzm.com/,"Southern Weekly is a weekly newspaper based in Guangzhou, China and is affiliated to the Southern Newspaper Media Group. It is considered the most outspoken newspaper in China. It is strongly recommended by liberal intellectuals and is said to contribute to public democratic debate and the formation of civil society. The New York Times has described the Southern Weekend as "China's most influential liberal newspaper".
Qilu Evening News,http://www.qlwb.com.cn/,"Qilu Evening News is a Jinan-based commercial evening paper and is one of the most circulated newspapers in the world, according to China Daily."
Yangtse Evening Post,http://www.yangtse.com/,"Yangtse Evening Post is a Nanjing-based commercial evening paper affiliated with the Xinhua News Agency. "
Caijing,http://www.caijing.com.cn/,"Caijing is an independent magazine based in Beijing, China, that publishes articles exploring the challenges of a society in political and economic transition, with a focus on civil rights, public affairs, and business.[1] The publication's title means "Finance and Economics Magazine". Caijing seeks to have an "independent standpoint, exclusive coverage and unique perspective" and much of its success is due to its independent and sometimes aggressive coverage of corruption."
Hexun News,http://www.hexun.com/,"Founded in 1996, Hexun is one of China's biggest financial information portal."
Caixin Online ,http://www.caixin.com/,"Caixin Online is the online presence of Caixin Media Company Ltd. Caixin is a Beijing-based media group providing financial and business news. Caixin online features investigative news and in-depth analysis of China's markets, politics, businesses, culture, environment, media, law and more. "
Economic Information,http://jjckb.xinhuanet.com/,"Economic Information Daily is a business and financial news publication affiliated with Xinhua News Agency"
China Economic Times ,http://www.cet.com.cn/,"China Economic Times is a business and financial news publication affliliated with Development Research Center of the State Council."
Yicai,http://www.yicai.com/,"China Business Network is one of the largest financial news company in China. Yicai.com is CBN's online presence."
China Youth Daily,http:// www.cyol.net/,"The China Youth Daily is the official newspaper of Communist Youth League of China. It is the first independently operated central government news media portal in the People's Republic of China. "
Xinhua News Agency,http://www.xinhua.org/,"The Xinhua News Agency is the state press agency of the People's Republic of China. Xinhua is a ministry-level department subordinate to the State Council. Its president sits at the powerful Central Committee of the Communist Party of China, the highest authority within the Party."
Global Times,http://www.huanqiu.com/,"The Global Times is a daily Chinese tabloid under the auspices of the People's Daily newspaper, focusing on international issues. The Global Times differentiates itself from other Chinese newspapers in part through its more populist approach to journalism. The Chinese-language version strongly focuses on international issues, the English-language version reports more on China's domestic events."
Legal Daily,http://www.legaldaily.com.cn/,"The Legal Daily is a People's Republic of China state-owned newspaper under the supervision of the PRC Ministry of Justice that is published in the PRC and primarily covers legal developments."
Jiefang Daily,http://www.jfdaily.com/,"Jiefang Daily, also translated as Liberation Daily, is the official daily newspaper of the Shanghai Committee of Communist Party of China. Its daily circulation is about 700,000 copies."
China News Service,http://www.chinanews.com/,"China News Service is a state-level news agency. Liao Chengzhi, former vice chairman of the Standing Committee of the National People's Congress, was the founder and leader of CNS."
Ta Kung Pao,http://www.takungpao.com/,"Ta Kung Pao is the oldest active Chinese language newspaper in China. It was originally founded in Tianjin in 1902 but the current Ta Kung Pao was established by the government of the People's Republic of China after the Chinese Civil War. Widely regarded as a veteran pro-Beijing newspaper, it covers a range of political, economic and cultural topics."
New Weekly,http://www.neweekly.com.cn/,"New Weekly is a Guangdong-based weekly magazine. It is famous for its sharp comments and long form stories."
The Beijing News,http://www.bjnews.com.cn/,"The Beijing News was co-founded by Guangming Daily and Southern Daily in 2003. It is famous for many award-winning stories and has grown into a very influential newspaper within a decade."
South Reviews,http://www.nfcmag.com/index.html,"South Views Magazine is a Guangzhou-based political and economic biweekly. It is a subsidiary of Guangzhou Daily News Group, the largest news group in China. Time magazine once described South Reviews as “a highbrow news magazine.”"
Oriental Morning Post,http://www.dfdaily.com/,"Oriental Morning Post is a Shanghai-based comprehensive daily that covers 15 cities in the Yangtze River delta."
The Guangming Daily,http://www.gmw.cn/,"The Guangming Daily was launched in 1949 by the China Democratic League, and is a nationwide comprehensive newspaper based in Beijing. Its sponsorship was shifted to various democratic parties in China and the China Federation of Industry and Commerce in 1953. Four years later, the newspaper began to be operated under the direct leadership of the Propaganda Department and the United Front Work Department of the Communist Party of China (CPC) Central Committee. Run by the CPC Central Committee, it is now a daily paper targeting intellectuals with its coverage of science, technology, education and culture."
The Southern Daily,http://www.nfdaily.cn/,"The Southern Daily is the official Guangdong Communist Party newspaper, sister to the more lively and commercial Southern Metropolis Daily and part of the giant Southern Media Group. This Guangzhou-based family of papers are known to possess superior reporting and higher level of frankness than many PRC mainstream press outlets."
South China Morning Post,http://www.nanzao.com/,"The South China Morning Post, together with its Sunday edition, the Sunday Morning Post, is the first English-language Hong Kong newspaper, published by the SCMP Group with a circulation of 104,000."
